joy-beginner-1-a	1	M
joy-beginner-1-b	1	W
joy-beginner-1-c	1	F
joy-beginner-1-a	2	M
joy-beginner-1-b	2	W
joy-beginner-1-c	2	F
joy-beginner-1-a	3	M
joy-beginner-1-b	3	W
joy-beginner-1-c	3	F
joy-beginner-1-a	4	M
joy-beginner-1-b	4	W
joy-beginner-1-c	4	F
joy-beginner-2-a	5	M
joy-beginner-2-b	5	W
joy-beginner-2-c	5	F
joy-beginner-2-a	6	M
joy-beginner-2-b	6	W
joy-beginner-2-c	6	F
joy-beginner-2-a	7	M
joy-beginner-2-b	7	W
joy-beginner-2-c	7	F
joy-beginner-2-a	8	M
joy-beginner-2-b	8	W
joy-beginner-2-c	8	F
joy-beginner-3-a	9	M
joy-beginner-3-b	9	W
joy-beginner-3-c	9	F
joy-beginner-3-a	10	M
joy-beginner-3-b	10	W
joy-beginner-3-c	10	F
joy-beginner-3-a	11	M
joy-beginner-3-b	11	W
joy-beginner-3-c	11	F
joy-beginner-3-a	12	M
joy-beginner-3-b	12	W
joy-beginner-3-c	12	F